Frame,Pixel Count
GMG,0
MOG,36864
MOG2,0
KNN,36864
CNT,36864
GMG,0
MOG,0
MOG2,0
KNN,36864
CNT,36864
GMG,0
MOG,1613
MOG2,616
KNN,36864
CNT,36864
GMG,0
MOG,1037
MOG2,772
KNN,36864
CNT,36864
GMG,0
MOG,917
MOG2,729
KNN,4022
CNT,36864
GMG,0
MOG,956
MOG2,892
KNN,3928
CNT,36864
GMG,0
MOG,732
MOG2,846
KNN,3528
CNT,36864
GMG,0
MOG,743
MOG2,841
KNN,3527
CNT,36864
GMG,0
MOG,675
MOG2,823
KNN,3134
CNT,36864
GMG,0
MOG,669
MOG2,915
KNN,2820
CNT,36864
GMG,0
MOG,867
MOG2,969
KNN,3492
CNT,36864
GMG,0
MOG,920
MOG2,926
KNN,3326
CNT,36864
GMG,0
MOG,921
MOG2,1089
KNN,3315
CNT,36864
GMG,0
MOG,1202
MOG2,1283
KNN,4036
CNT,36864
GMG,0
MOG,911
MOG2,1242
KNN,3840
CNT,36864
GMG,0
MOG,918
MOG2,1217
KNN,3615
CNT,5328
GMG,0
MOG,1240
MOG2,1321
KNN,3990
CNT,5534
GMG,0
MOG,1317
MOG2,1357
KNN,3763
CNT,5320
GMG,0
MOG,1276
MOG2,1362
KNN,3631
CNT,5450
GMG,0
MOG,1375
MOG2,1375
KNN,3779
CNT,5498
GMG,0
MOG,1556
MOG2,1420
KNN,3881
CNT,5688
GMG,0
MOG,1620
MOG2,1437
KNN,4072
CNT,5662
GMG,0
MOG,1918
MOG2,1638
KNN,4617
CNT,6009
GMG,0
MOG,1579
MOG2,1413
KNN,4051
CNT,5483
GMG,0
MOG,1472
MOG2,1307
KNN,3744
CNT,5306
GMG,0
MOG,1394
MOG2,1198
KNN,3620
CNT,5094
GMG,0
MOG,1394
MOG2,1157
KNN,3802
CNT,5176
GMG,0
MOG,1208
MOG2,944
KNN,3367
CNT,4788
GMG,0
MOG,1145
MOG2,845
KNN,3235
CNT,4644
GMG,0
MOG,1082
MOG2,780
KNN,3085
CNT,4395
GMG,0
MOG,1042
MOG2,728
KNN,2825
CNT,4239
GMG,0
MOG,989
MOG2,713
KNN,2936
CNT,4245
GMG,0
MOG,1016
MOG2,690
KNN,2970
CNT,4212
GMG,0
MOG,935
MOG2,665
KNN,2879
CNT,4096
GMG,0
MOG,876
MOG2,641
KNN,2583
CNT,3934
GMG,0
MOG,925
MOG2,617
KNN,2672
CNT,3993
GMG,0
MOG,962
MOG2,671
KNN,2847
CNT,4010
GMG,0
MOG,856
MOG2,589
KNN,2547
CNT,3877
GMG,0
MOG,890
MOG2,588
KNN,2514
CNT,3825
GMG,0
MOG,1022
MOG2,696
KNN,2933
CNT,4003
GMG,0
MOG,858
MOG2,574
KNN,2670
CNT,3773
GMG,0
MOG,941
MOG2,595
KNN,2947
CNT,3734
GMG,0
MOG,1006
MOG2,584
KNN,2904
CNT,3693
GMG,0
MOG,950
MOG2,538
KNN,2808
CNT,3576
GMG,0
MOG,960
MOG2,567
KNN,2792
CNT,3535
GMG,0
MOG,1084
MOG2,634
KNN,3207
CNT,3525
GMG,0
MOG,1006
MOG2,562
KNN,2960
CNT,3433
GMG,0
MOG,1025
MOG2,574
KNN,2937
CNT,3393
GMG,0
MOG,1115
MOG2,650
KNN,3065
CNT,3404
GMG,0
MOG,1049
MOG2,568
KNN,2940
CNT,3342
GMG,0
MOG,1092
MOG2,596
KNN,2979
CNT,3363
GMG,0
MOG,1318
MOG2,809
KNN,3656
CNT,3490
GMG,0
MOG,1142
MOG2,659
KNN,3268
CNT,3224
GMG,0
MOG,979
MOG2,531
KNN,2660
CNT,3035
GMG,0
MOG,984
MOG2,559
KNN,2614
CNT,3078
GMG,0
MOG,929
MOG2,536
KNN,2474
CNT,2931
GMG,0
MOG,902
MOG2,560
KNN,2262
CNT,2772
GMG,0
MOG,948
MOG2,598
KNN,2466
CNT,2880
GMG,0
MOG,940
MOG2,566
KNN,2505
CNT,3069
GMG,0
MOG,852
MOG2,515
KNN,2204
CNT,2831
GMG,0
MOG,921
MOG2,613
KNN,2327
CNT,2987
GMG,0
MOG,1000
MOG2,645
KNN,2237
CNT,2837
GMG,0
MOG,1149
MOG2,764
KNN,2586
CNT,3127
GMG,0
MOG,1179
MOG2,816
KNN,2523
CNT,3123
GMG,0
MOG,1215
MOG2,838
KNN,2479
CNT,2993
GMG,0
MOG,1321
MOG2,903
KNN,2656
CNT,3133
GMG,0
MOG,1399
MOG2,987
KNN,2599
CNT,3121
GMG,0
MOG,1422
MOG2,1005
KNN,2567
CNT,3028
GMG,0
MOG,1482
MOG2,1047
KNN,2728
CNT,3188
GMG,0
MOG,1506
MOG2,1091
KNN,2720
CNT,3194
GMG,0
MOG,1626
MOG2,1135
KNN,2812
CNT,3230
GMG,0
MOG,1655
MOG2,1139
KNN,2830
CNT,3117
GMG,0
MOG,1763
MOG2,1242
KNN,2988
CNT,3215
GMG,0
MOG,1824
MOG2,1264
KNN,3085
CNT,3274
GMG,0
MOG,1902
MOG2,1329
KNN,3103
CNT,3288
GMG,0
MOG,1970
MOG2,1362
KNN,3170
CNT,3293
GMG,0
MOG,1957
MOG2,1289
KNN,3155
CNT,3194
GMG,0
MOG,1963
MOG2,1283
KNN,3128
CNT,3135
GMG,0
MOG,1909
MOG2,1215
KNN,3077
CNT,3007
GMG,0
MOG,1864
MOG2,1163
KNN,3373
CNT,3264
GMG,0
MOG,1937
MOG2,1249
KNN,3460
CNT,3359
GMG,0
MOG,1905
MOG2,1206
KNN,3498
CNT,3307
GMG,0
MOG,1867
MOG2,1164
KNN,3487
CNT,3271
GMG,0
MOG,1839
MOG2,1065
KNN,3489
CNT,3232
GMG,0
MOG,1810
MOG2,1136
KNN,3481
CNT,3174
GMG,0
MOG,1703
MOG2,995
KNN,3254
CNT,3002
GMG,0
MOG,1651
MOG2,972
KNN,3071
CNT,2915
GMG,0
MOG,1588
MOG2,981
KNN,2881
CNT,2767
GMG,0
MOG,1503
MOG2,935
KNN,2658
CNT,2532
GMG,0
MOG,1479
MOG2,894
KNN,2667
CNT,2500
GMG,0
MOG,1469
MOG2,938
KNN,2934
CNT,2749
GMG,0
MOG,1435
MOG2,944
KNN,2781
CNT,2588
GMG,0
MOG,1308
MOG2,831
KNN,2616
CNT,2478
GMG,0
MOG,1346
MOG2,932
KNN,2858
CNT,2577
GMG,0
MOG,1322
MOG2,905
KNN,2778
CNT,2541
GMG,0
MOG,1230
MOG2,845
KNN,2614
CNT,2368
GMG,0
MOG,1279
MOG2,885
KNN,2850
CNT,2526
GMG,0
MOG,1460
MOG2,1085
KNN,3016
CNT,2596
GMG,0
MOG,1485
MOG2,1115
KNN,3027
CNT,2583
GMG,0
MOG,1667
MOG2,1293
KNN,3213
CNT,2686
GMG,0
MOG,1855
MOG2,1473
KNN,3388
CNT,2885
GMG,0
MOG,2007
MOG2,1646
KNN,3553
CNT,2986
GMG,0
MOG,2025
MOG2,1677
KNN,3574
CNT,2984
GMG,0
MOG,2226
MOG2,1814
KNN,3771
CNT,3106
GMG,0
MOG,2388
MOG2,1930
KNN,3978
CNT,3282
GMG,0
MOG,2524
MOG2,2122
KNN,4198
CNT,3537
GMG,0
MOG,2685
MOG2,2265
KNN,4409
CNT,3715
GMG,0
MOG,2766
MOG2,2318
KNN,4580
CNT,3818
GMG,0
MOG,2730
MOG2,2311
KNN,4499
CNT,3721
GMG,0
MOG,2788
MOG2,2309
KNN,4578
CNT,3792
GMG,0
MOG,2870
MOG2,2332
KNN,4636
CNT,3836
GMG,0
MOG,2936
MOG2,2414
KNN,4690
CNT,3877
GMG,0
MOG,2897
MOG2,2405
KNN,4655
CNT,3861
GMG,0
MOG,2867
MOG2,2378
KNN,4649
CNT,3811
GMG,0
MOG,2877
MOG2,2387
KNN,4634
CNT,3690
GMG,0
MOG,2878
MOG2,2417
KNN,4605
CNT,3665
GMG,0
MOG,2853
MOG2,2397
KNN,4534
CNT,3601
GMG,0
MOG,2811
MOG2,2380
KNN,4417
CNT,3571
GMG,0
MOG,2894
MOG2,2413
KNN,4594
CNT,3619
GMG,0
MOG,2916
MOG2,2415
KNN,4542
CNT,3622
GMG,36864
MOG,2888
MOG2,2378
KNN,4678
CNT,3601
GMG,5109
MOG,3041
MOG2,2614
KNN,5217
CNT,3772
GMG,6009
MOG,3012
MOG2,2542
KNN,5167
CNT,3751
GMG,6248
MOG,2956
MOG2,2409
KNN,5028
CNT,3622
GMG,5113
MOG,2982
MOG2,2363
KNN,4969
CNT,3651
GMG,5740
MOG,2997
MOG2,2329
KNN,4647
CNT,3700
GMG,5481
MOG,2943
MOG2,2241
KNN,4618
CNT,3643
GMG,5860
MOG,2848
MOG2,2137
KNN,4493
CNT,3563
GMG,5529
MOG,2836
MOG2,2112
KNN,4505
CNT,3549
GMG,5135
MOG,2751
MOG2,2034
KNN,4330
CNT,3455
GMG,5027
MOG,2672
MOG2,1979
KNN,4254
CNT,3405
GMG,4916
MOG,2712
MOG2,2021
KNN,4319
CNT,3493
GMG,4870
MOG,2722
MOG2,2039
KNN,4249
CNT,3456
GMG,5374
MOG,2744
MOG2,2027
KNN,4300
CNT,3600
GMG,5101
MOG,2743
MOG2,2014
KNN,4297
CNT,3587
GMG,5403
MOG,2703
MOG2,2007
KNN,4380
CNT,3649
GMG,4851
MOG,2736
MOG2,2021
KNN,4369
CNT,3657
GMG,4980
MOG,2746
MOG2,2060
KNN,4453
CNT,3832
GMG,4733
MOG,2731
MOG2,2023
KNN,4440
CNT,3830
GMG,4666
MOG,2639
MOG2,1934
KNN,4264
CNT,3681
GMG,4880
MOG,2590
MOG2,1929
KNN,4442
CNT,3882
GMG,5250
MOG,2615
MOG2,2023
KNN,4640
CNT,3955
GMG,4843
MOG,2515
MOG2,1904
KNN,4545
CNT,3909
GMG,4479
MOG,2510
MOG2,1930
KNN,4568
CNT,3976
GMG,4366
MOG,2601
MOG2,2060
KNN,4648
CNT,3991
GMG,3884
MOG,2499
MOG2,1956
KNN,4484
CNT,3897
GMG,3373
MOG,2156
MOG2,1648
KNN,4175
CNT,3705
GMG,3243
MOG,2068
MOG2,1578
KNN,3998
CNT,3570
GMG,2925
MOG,1931
MOG2,1423
KNN,3887
CNT,3452
GMG,2811
MOG,1678
MOG2,1176
KNN,3484
CNT,3183
GMG,2665
MOG,1727
MOG2,1202
KNN,3491
CNT,3216
GMG,2558
MOG,1709
MOG2,1217
KNN,3504
CNT,3216
GMG,2546
MOG,1805
MOG2,1304
KNN,3562
CNT,3248
GMG,2407
MOG,1657
MOG2,1171
KNN,3391
CNT,3124
GMG,2496
MOG,1793
MOG2,1291
KNN,3497
CNT,3234
GMG,2566
MOG,1712
MOG2,1227
KNN,3381
CNT,3185
GMG,2600
MOG,1791
MOG2,1331
KNN,3510
CNT,3275
